Sanctioned Entity,Sanction Amount,Sanction Reason,Sanction Date
,3.0,,2022-07-19
BANCA SISTEMA SPA,100000.0,,2022-07-05
,20.0,"- carenze nell’organizzazione e nei controlli interni da parte degli ex componenti il
Consiglio di amministrazione (art. 53, co. 1, lett. a), b) e d), e  co. 4, d.lgs. 385/1993; Parte
Prima, Tit. IV, Cap. 1, 2, 3, Circ. 285/2013; Tit.  V, Cap. 5, Circ. 263/2006, confluita nella
Parte III, Cap. 11, Circ. 285/2013;  art. 144- ter, co. 1, lett. a), d.lgs. 385/1993);
- carenze nei controlli interni da parte degli ex componenti il Collegio sindacale (art. 53, c o.
1, l
ett. a), b) e d), e co. 4, d.lgs. 385/1993; Parte Prima, Tit. IV, Cap. 1, 2, 3, Circ.
285/2013; Tit. V, Cap. 5, Circ. 263/2006, confluita nella Parte III, Cap. 11, Circ.285/2013; art. 144- ter, co. 1, lett. a), d.lgs. 385/1993);
- carenze nell’organizzazione e nei controlli interni da parte dell’ ex Direttore generale (art.
53, co. 1, lett. a), b) e d), e co. 4, d.lgs. 385/1993; Parte Prima, Tit. IV, Cap. 1, 3, Circ.285/2013; Tit. V, Cap. 5, Circ. 263/2006, confluita nella Parte III, Cap. 11, Circ.285/2013; art. 144- ter, co. 1, lett. a), d.lgs. 385/1993) .
CONSIDERATO che l e suddett e irregolarità sono state contestat e agli ex esponenti di
Banca del Sud Spa, ora in a.s., secondo le formalità pre viste dall’art. 145 TUB;  
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio  
della Banca d’Italia l’applicazione  nei confronti degli ex esponenti di Banca del Sud Spa, ora in 
a.s., di sanzioni amministrative pecuniarie ex art. 144-ter TUB , trasmettendo i relativi atti;                                                                       
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso agli interessati  la proposta di sanzione e i relativi allegati;  
VISTE l e ulteriori osservazioni presentate in merito alla proposta del Servizio Rapporti  
Istituzionali di Vigilanza dagli ex esponenti di Banca del Sud Spa, ora in a.s.;  
VISTO il parere dell’Avvocato Generale (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osservazioni presentate  
dagli ex esponenti non idonee a superare la proposta del Servizio Rapporti Istituzionali di  
Vigilanza  e ritenut o, quindi, che  sussist ono gli estremi pe r l’irrogazione della sanzione 
amministrativa pecuniaria, per le ragioni illustrate nella delibera (omissis);  
DISPONE  CHE  
a carico delle persone di seguito indicate, nella qualità precisata, siano inflitte, ai sensi  
dell’art. 144- ter TUB, per le irregolari tà sopra indicate, le seguenti sanzioni amministrative 
pecuniarie:  
 
1) ex componenti il Consiglio di amministrazione di Banca del Sud Spa, ora in a.s.,  
- Marco Pochetti , € 20.000;  
- Valter Lozza , € 11.000;  
- Antonello Caretti , € 15.000;  
- Luigi Maria Caret ti, € 10.000;  
- Fortuna Fiore , € 10.000;  
- Ermenegildo De Michele, € 11.000;  
2) ex componenti il Collegio sindacale di Banca del Sud Spa, ora in a.s., 
- Giampaolo Evangelista, € 16.000;  
- Fabrizio Martone , € 15.000;  
- Francescomaria Serao , € 15.000;  
3) ex Direttore generale di Banca del Sud Spa, ora in a.s., Carlo Casilli, € 22.000.",2022-01-11
DIRECTA SIM SPA,30000.0,,2019-12-05
BANCA DEL SUD  SPA,30000.0,"- carenze nell’organizzazione e nei controlli interni (art. 53, co. 1, lett. a), b) e  d), e co. 4, 
d.lgs. 385/1993; Parte Prima, Tit. IV, Ca p. 1, 2, 3, Circ.  285/2013; Tit. V, Cap. 5, Circ. 
263/2006, confluita nella Parte III, Cap. 11,  Circ. 285/2013; art. 144, co. 1, lett. a), d.lgs. 
385/1993) . 
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Banca del Sud Spa,  
ora in a.s., ne lla persona del legale rappresentante pro-tempore , secondo le formalità previste  
dall’art. 145 TUB;  
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con cui il Servizio Rapporti Istit uzionali di Vigilanza , in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio  
della Banca d’Italia l’applicaz ione nei confronti di Banca del Sud Spa, ora in a.s. , di sanzioni 
amministrative pecuniarie ex art. 144 TUB , trasmettendo i relativi atti;  
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Banca del Sud Spa , ora in a.s., la proposta di sanzione e i relativi allegati;  
CONSIDERATO  che Banca del Sud Spa, ora in a.s., non ha presentato ulteriori  
osservazioni in merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale  (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento  e ritenut o che sussist ono gli estremi per 
l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni illustrate nella delibera 
(omissis);                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 DISPONE  CHE  
a Banca del Sud Spa , ora in a.s. , sia inflitta, ai sensi del l’art. 144 TUB , per le irregolarità 
sopra indicate, la sanzione amministrativa pecuniaria di € 30.000.",2022-01-11
FINDOMESTIC BANCA  SPA,900000.0,": 
- carenze nell’organizzazione e nei controlli interni in materia di tras parenza (art.  127, c o. 
01, anche  in relazione agli artt. 11 8, 119, 121, 124, 125, 125-bis, 126 -quinquies , d.lgs. 
385/93 ; Provvedimento del Governatore del 29.7.2009 e successive  modifiche e 
integrazioni , “Disposizioni in materia di trasparenza delle  operaz ioni e dei servizi bancari 
e finanziari. Correttezza delle relazioni tra  intermediari e clienti ”; art. 144, d.lgs. 385/93 ). 
CONSIDERATO  che le suddette irregolarità sono state contestate a Findomestic Banca 
Spa, nella  persona del legale rappresentante pro-tempore , secondo le formalità previste dall’art. 
145 TUB;  
CONSIDERATI  le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento  
istruttorio;  
VISTA  la nota (omissis)  con la quale  il Servizio Rapporti Istituzionali di  Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie  rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al  Direttorio 
della Banca d’Italia l’applicazione nei confronti di Findomestic Banca Spa di sanzioni 
amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti;  
VISTA la nota  (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Findomestic Banca  Spa la proposta di sanzione e i relativi alleg ati; 
VISTE  le ulteriori osservazioni  presentat e (omissis) da Findomestic Banca Spa  in merito 
alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis) ; 
LA BA NCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osservazioni presentate 
dalla banca non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  e                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 ritenuto , quindi,  che sussistono gli estremi per l’irrogazio ne della sanzione amministrativa 
pecuniaria, tenuto conto della portata delle irregolarità rilevate e delle misure correttive  
adottate, per le ragioni illustrate nella delibera (omissis);  
DISPONE  CHE  
a Findomestic  Banca Spa sia inflitta, ai sensi dell’art.  144 TUB, per le irregolarità sopra  
indicate, la sanzione amministrativa pecuniaria di € 900.000.",2009-07-29
,30000.0,,2020-11-02
UNICREDIT SPA,,"- mancata ottemperanza agli obblighi in materia di adeguata verifica della clientela e di 
modalità di segnalazione di operazioni sospette (artt. 17, 18, 24, 25, 36 e 62 , d.lgs.  
231/2007) . 
CONSIDERATO che l a suddett a irregolarità è stata contestat a a UniCredit  Spa, nella 
persona del legale rappresentante pro-tempore , secondo le formalità previste dall’art. 145 
TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale  il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzio ne, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di UniCredit  Spa",2022-03-29
,30000.0,": 
 
- carenze nell’organizzazione e nei controlli in materia di trasparenza (art. 127, co. 01, in 
rapporto agli artt. 120 -novies , 124, 125 -bis, 126 -quater , 126 -duodecies , d.lgs. 385/93; 
Provvedimento del Governatore del 29/7/2009 e successive modifiche e integrazioni 
“Disposizioni in materia di trasparenza delle operazioni dei servizi bancari e finanziari. 
Correttezza delle relazio ni tra intermediari e clienti”; Decreto del Ministro 
dell’Economia e delle Finanze 380/2016; art. 144 , d.lgs. 385/93).  
CONSIDERATO  che le suddette irregolarità sono state contestate a Banque Chaabi du 
Maroc , nella persona del legale rappresentante pro-temp ore, secondo le formalità previste 
dall’art. 145 TUB;  
CONSIDERATI  le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento  
istruttorio;  
VISTA  la nota (omissis)  con cui il Servizio Rapporti Istituzionali di  Vigilanza, in 
osservanza del princ ipio della distinzione tra funzioni istruttorie e funzioni decisorie  rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al  Direttorio 
della Banca d’Italia l’applicazione , nei confronti di Banque Chaabi du Maroc , di sanzioni 
amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti;  
VISTA la nota  (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Banque Chaabi du Maroc la proposta di sanzione e i relativi allegati;  
VISTE  le ulteriori osservazioni presentate (omissis) da Banque Chaabi du Maroc in 
merito  alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis) ; 
LA BANCA  D’ITALIA                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 ESAMINATI gli atti del procedimento , considerate la portata delle irregolarità rilevate, le  
misure correttive adottate e le ulteriori osservazioni presentate dalla banca non idonee a 
superare  la proposta del Servizio Rapporti Istituzionali di Vig ilanza, e ritenuto , quindi, che 
sussistono gli estremi per l’irrogazione della sanzione amministrativa pecuniaria, per le ragioni 
illustrate nella delibera (omissis);  
DISPONE  CHE  
a Banque Chaabi du Maroc sia inflitta, ai sensi dell’art. 144 , TUB, per le ir regolarità 
sopra  indicate, la sanzione amministrativa pecuniaria di € 30.000.",2009-07-29
BANCA CARIGE  SPA,280000.0,": 
- carenze nell’organizzazione e nei controlli in materia di trasparenza (art.  127, c o. 01, 
TUB, in relazione agli artt. 116, 117 -bis, 119, 126 -sexies , 126-septies , 126 -duodecies , 
126-quinquiesdecies , 126 -septiesdecies , 126 -vicies semel  TUB; Provvedimento del 
Governatore del 29.7.2009 e successive  modifiche e integrazioni - Disposizioni in materia 
di trasparenza delle  operazioni dei servizi bancari e fina nziari. Correttezza delle relazioni 
tra intermediari e clienti; Decreti del Ministro dell’Economia e delle Finanze n.  644/2012 
e 70/2018; art. 144, TUB) . 
CONSIDERATO  che le suddette irregolarità sono state contestate a Banca Carige  Spa, 
nella  persona del l egale rappresentante pro-tempore , secondo le formalità previste dall’art. 145 
TUB;  
CONSIDERATO  che, nella riunione (omissis) , la Commissione per  l’esame delle 
irregolarità, valutate le irregolarità contestate, le controdeduzioni presentate e  ogni altro 
elemento istruttorio, ha ritenuto confermate le violazioni e sussistenti i presupposti  per 
l’irrogazione di una sanzione amministrativa pecuniaria, ex art. 144 TUB, nei confronti di  
Banca Carige Spa ; 
CONSIDERATI  le deduzioni presentate nel corso dell’istrutto ria e ogni altro elemento  
istruttorio;  
VISTA  la nota (omissis)  con cui il Servizio Rapporti Istituzionali di  Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie  rispetto 
all’irrogazione della sanzione, fis sato dall’art. 24 della l. n. 262/2005, ha proposto al  Direttorio 
della Banca d’Italia l’applicazione , nei confronti di Banca Carige  Spa, di sanzioni 
amministrative pecuniarie ex art. 144 TUB, trasmettendo i relativi atti;  
VISTA la nota  (omissis)  con la qu ale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Banca Carige  Spa la proposta di sanzione e i relativi allegati;  
CONSIDERATO  che Banca Carige Spa non ha presentato ulteriori osservazioni in  merito 
alla proposta del Servizio Rapporti Istit uzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ;                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 VISTA la delibera del Direttorio (omissis) ; 
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento e ritenuto  che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa  pecuniaria, per le ragioni illus trate nella delibera 
(omissis);  
DISPONE  CHE  
a Banca Carige Spa sia inflitta, ai sensi dell’art. 144 TUB, per le irregolarità sopra  
indicate, la sanzione amministrativa pecuniaria di € 280.000.",2009-07-29
PRESTIAMOCI SPA,30000.0,,2020-10-06
,30.0,"- violazioni in materia di CAI e Centrale Rischi (art. 53, d.lgs. 385/1993; Tit. IV, Cap. 11,
Sez. V, Circ. 229/1999; Cap. 1, Sez. II, Par. 1, 4.3 e C ap. 2, Sez. II, Par. 3, Sez. V, Par.
2, Circ. 139/1991; art. 144, d.lgs. 385/1993).
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Banca Popolare
Vesuviana  Sc, nella persona del legale rappresentante pro-tempore , secondo le formalità 
previste dall’art. 145 TUB ; 
CONSIDERATI le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con la quale  il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tr a funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio  
della Banca d’Italia l’applicazione  nei confronti di Banca Popolare Vesuviana  Sc di sanzioni 
amministr ative pecuniarie ex art. 144 TUB , trasmettendo i relativi atti;  
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Banca Popolare Vesuviana  Sc la proposta di sanzione e i relativi allegati;  
VISTE le  ulterior i osservazioni presentate (omissis) da Banca Popolare Vesuviana  Sc in 
merito alla proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale  (omissis);  
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osservazioni presentate 
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  
e ritenut o, quindi,  che sussist ono gli estremi per l’irrogazione della sanzi one amministrativa 
pecuniaria, per le ragioni illustrate nella delibera (omissis);                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 DISPONE  CHE  
a Banca Popolare Vesuviana Sc , sia inflitt a, ai sensi del l’art. 144 TUB , la sanzion e 
amministrativ a pecuniari a nella misur a di seguito specificat a: 
- per violazion i in materia di CAI e Centrale Rischi , € 30.000 .",2022-02-08
CENTOTRENTA SERVICING SPA,40000.0,,2022-02-15
,100.0,,2022-03-11
,27000.0,,2022-01-27
,,,2019-07-23
,60000.0,"- carenze nell’adempimento degli obblighi di adeguata verifica, di collaborazione attiva e 
nei controlli antiriciclaggio (artt. 7, 15, 16, 17, 18, 19, 24, 25, 35, 36, d.lgs. 231/2007; 
Parte I, II e III  del Provv . B.I. del 26 /03/2019 “Disposizioni in materia di organizzazione, 
procedure e controlli interni volti a preve nire l’utilizzo degli intermediari a fini di 
riciclaggio e di finanziamento del terrorismo”; Parte I, II e IV, Provv . B.I. del 30 /07/2019 
“Disposizioni in materia di adeguata verifica della clientela per il contrasto del riciclaggio 
e del finanziamento del  terrorismo”; art. 62, co. 1,  d.lgs. 231/2007) . 
CONSIDERATO che le suddette irregolarità sono state contestate a Credito Cooperativo 
di San Calogero e Maierato",2021-12-07
,60000.0,"- carenze nell’adempimento degli obblighi di adeguata verifica della clientela,
conservazione e segnalazione di operazioni sospette (artt. 3 co. 2 -bis, 17, 18, 19, 31, 32,
35, 36, 38, 62 co. 1, d.lgs. 231/2007) .
CONSIDERATO che le suddette irregolarità sono state contestate a Summa Service Srl
,
n
ella persona del legale rappresentante pro- tempore , secondo le formalità previste dall’art. 145 
TUB, richiamato dall’art. 65 del d.lgs. n. 231/2007;  
CONSIDERATI le deduzioni  presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con la quale  il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio della Banca d’Italia l’applicazione nei confronti di Sum ma Service Srl  di sanzioni 
amministrative pecuniarie ex  art. 62 del d.lgs. 231/2007,  trasmettendo i relativi atti;  
VISTA la nota  (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Summa Service Srl la proposta di sanzione e i relativi allegati;                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 VISTE le ulteriori osservazioni presentate (omissis)  da Summa Service Srl in merito alla 
proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis) ; 
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento, considerate le ulteriori osse rvazioni presentate 
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza 
e ritenuto, quindi, che sussistono gli estremi per l’irrogazione della sanzione amministrativa 
pecuniaria , per le ragioni illus trate nella delibera (omissis);  
DISPONE  CHE  
a Summa Service Srl , ora in liquidazione , sia inflitta , ai sensi dell’art. 62 del d.lgs. n. 
231/2007, per le irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 60.000.",2021-10-08
,8.0,"- carenze nell’organizzazione e nei controlli interni (art. 108, co. 1, d.lgs. 385/93; Tit. III, 
Cap. 1, Sez. I, II, III, IV e V, Circ. 288/2015 “Disposizioni di Vigilanza per gli  
Intermediari finanziari”; art. 2, co. 6 e 6- bis, l. 130/1999; art. 144, co. 1, lett. a), d. lgs. 
385/93);  
- carenze nell’attività di master- servicing e nell’esternalizzazione di attività operative a  
terzi (art. 108, co. 1, d .lgs. 385/93; Tit. III, Cap. 1, Sez. V e VII, Circ. 288/2015  
“Disposizioni di Vigilanza per gli Intermediari finanziari”; art. 2, co. 6 e 6 -bis, l. 
130/1999; art. 144, co. 1, lett. a), d. lgs. 385/93) . 
CONSIDERATO che l e suddett e irregolarità sono state contestat e a Summa Service Srl, 
nella persona del legale rappresentante pro- tempore , secondo le f ormalità previste dall’art. 145 
TUB ; 
CONSIDERAT I le deduzioni presentate nel corso dell’istruttoria e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis) con la quale  il Servizio Rapporti Istituzionali di Vigilanza , in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto all’irrogazione della sanzione, fissato dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio  
della Banca d’Italia l’applicazione  nei confronti di Summa Service Srl di sanzioni 
amministrative pecuniarie ex  art. 144 TUB , trasmetten do i relativi atti;  
VISTA la nota (omissis) con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Summa Service Srl la proposta di sanzione e i relativi allegati;  
VISTE le  ulteriori osservazioni presentate (omissis) da Summa Service  Srl in merito alla 
proposta del Servizio Rapporti Istituzionali di Vigilanza;  
VISTO il parere dell’Avvocato Generale (omissis);  
VISTA la delibera del Direttorio (omissis);                                                                         
 
Provvedimenti sanzionatori  
 
 
2 
 LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento , considerate le ulteriori osser vazioni presentate 
dalla società non idonee a superare la proposta del Servizio Rapporti Istituzionali di Vigilanza  
e ritenut o, quindi, che sussist ono gli estremi per l’irrogazione della sanzione amministrativa 
pecuniaria, per le ragioni illustrate nella d elibera (omissis);  
DISPONE  CHE  
a Summa Service  Srl, ora in liquidazione, sia inflitta, ai sensi del l’art. 144 TUB , per le 
irregolarità sopra indicate, la sanzione amministrativa pecuniaria di € 8 0.000.",2021-07-30
MORGAN SPA,50000.0,,2021-11-24
,60000.0,"- carenze nell’adempimento degli obblighi di adeguata verifica, di collab orazione attiva 
e nei controlli antiriciclaggio (artt. 7, 15, 16, 17, 18, 19, 24, 25, 36 d.lgs. 231/2007; 
Parte I, II e III, Provvedimento della Banca d’Italia del 26.3.2019 “Disposizioni in 
materia di organizzazione, procedure e controlli interni volti a prevenire l’utilizzo degli 
intermediari a fini di riciclaggio e di finanziamento del terrorismo”; Parte I, II e IV, 
Provvedimento della Banca d’Italia del 30.7.2019 “Disposizioni in materia di adeguata 
verifica della clientela per il contrasto del riciclag gio e del finanziamento del 
terrorismo”; art. 62, co. 1,  d.lgs. 231/2007);  
- omissione degli obblighi di segnalazione di operazioni sospette (artt. 35 e 62, d.lgs.  
231/2007) . 
CONSIDERATO che le suddette irregolarità sono state contestate a Banca del 
Catanzar ese Credito Cooperativo Società Cooperativa , nella persona del legale rappresentante 
pro-tempore , secondo le formalità previste dall’art. 145 TUB, richiamato dall’art. 65 del d.lgs. 
n. 231/2007;  
CONSIDERATI le deduzioni presentate nel corso dell’ist ruttori a e ogni altro elemento 
istruttorio;  
VISTA la nota (omissis)  con cui il Servizio Rapporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funzioni istruttorie e funzioni decisorie rispetto                                                                        
 
Provvedimenti sanzionatori  
 
 
2 
 all’irrogazione della sanzione, fissa to dall’art. 24 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti di Banca del Catanzarese Credito Cooperativo 
Società Cooperativa di sanzioni amministrative pecuniarie ex art. 62 del d.lgs. n. 231 /2007, 
trasmettendo i relativi atti; 
VISTA la nota (omissis)  con la quale il Servizio Rapporti Istituzionali di Vigilanza ha 
trasmesso a Banca del Catanzarese Credito Cooperativo Società Cooperativa la proposta di 
sanzione e i relativi allegati;  
CONSIDERATO  che Banca  del Catanzarese Credito Cooperativo Società Cooperativa 
non ha presentato osservazioni in merito alla proposta del Servizio Rapporti Istituzionali di 
Vigilanza ; 
VISTO il parere dell’Avvocato Generale (omissis) ; 
VISTA la delibera del Direttorio (omissis);  
LA BANCA D’ITALIA  
ESAMINATI gli atti del procedimento  e ritenuto, quindi, che sussist ono gli estremi per 
l’irro gazione della sanzione amministrativa  pecuniaria, per le ragioni illustrate nella delibera  
(omissis);  
DISPONE  CHE  
a Banca del Catanzarese Credito Cooperativo Società Cooperativa  sia inflitta, ai sensi 
dell’art. 62 del d.lgs. n. 231/2007 per le irregolarità  sopra indicate, la sanzione amministrativa 
pecuniaria di € 60.000.",2019-03-26
IFINVEST SPA,30.0,"1)    carenze nell’organizzazione e nei controlli i nterni, con particolare riferimento al processo 
del credito, e connessi riflessi patrimoniali e sul le segnalazioni di vigilanza (art. 108, co. 
1, TUB; Tit. III, Cap. 1 e Tit. IV, Cap. 4, Circ. 2 88/2015 “Disposizioni di Vigilanza per 
gli intermediari finanziari”; art. 144, co. 1, lett . a), TUB); 
2)    violazioni della normativa in materia di fond i propri e di grandi esposizioni (art. 108, co. 
1, TUB; Tit. IV, Cap. 3 e Cap. 12, Circ. 288/2015 “ Disposizioni di Vigilanza per gli 
intermediari finanziari”; art. 144, co. 1, lett. a) , TUB). 
CONSIDERATO che le suddette irregolarità sono state  contestate a Ifinvest Spa, nella 
persona del legale rappresentante pro-tempore , secondo le formalità previste dall’art. 145 
TUB; 
CONSIDERATI le deduzioni presentate nel corso dell’ istruttoria e ogni altro elemento 
istruttorio; 
VISTA la nota (omissis) con la quale il Servizio Ra pporti Istituzionali di Vigilanza, in 
osservanza del principio della distinzione tra funz ioni istruttorie e funzioni decisorie rispetto 
all’irrogazione della sanzione, fissato dall’art. 2 4 della l. n. 262/2005, ha proposto al Direttorio 
della Banca d’Italia l’applicazione nei confronti d i Ifinvest Spa di sanzioni amministrative 
pecuniarie ex  art. 144 TUB, trasmettendo i relativi atti; 
VISTA la nota (omissis) con la quale il Servizio Ra pporti Istituzionali di Vigilanza ha 
trasmesso a Ifinvest Spa la proposta di sanzione e i relativi allegati; 
CONSIDERATO  che Ifinvest Spa non ha presentato osservazioni in merito alla proposta 
del Servizio Rapporti Istituzionali di Vigilanza (o missis); 
VISTO il parere dell’Avvocato Generale (omissis); 
VISTA la delibera del Direttorio (omissis), con la quale è stato richiesto un supplemento 
di istruttoria con riguardo alla quantificazione de lla sanzione; 
VISTA  la nota (omissis) con la quale il Servizio Rapporti  Istituzionali di Vigilanza, a 
esito degli approfondimenti richiesti, ha formulato  una nuova proposta al Direttorio della 
Banca d’Italia, che integra e modifica quella prece dente (omissis) limitatamente alla                                                                       
 
Provvedimenti sanzionatori 
 
 
2 
 determinazione dell’importo delle sanzioni proposte  nei confronti di Ifinvest Spa, trasmettendo 
i relativi atti;  
VISTA  la nota (omissis) con la quale il Servizio Rapporti  Istituzionali di Vigilanza ha 
trasmesso a Ifinvest Spa la proposta di sanzione (o missis) e i relativi allegati; 
CONSIDERATO che Ifinvest Spa non ha presentato osse rvazioni in merito alla proposta 
(omissis) del Servizio Rapporti Istituzionali di Vi gilanza; 
VISTO  il parere dell’Avvocato Generale (omissis); 
VISTA  la delibera del Direttorio (omissis); 
 
LA BANCA D’ITALIA 
ESAMINATI gli atti del procedimento e ritenuto, qui ndi, che sussistono gli estremi per 
l’irrogazione della sanzione amministrativa pecunia ria, per le ragioni illustrate nelle delibere 
(omissis); 
DISPONE CHE 
a Ifinvest Spa sia inflitta, ai sensi dell’art. 144 TUB, per le ir regolarità sopra indicate, la 
sanzione amministrativa pecuniaria di € 30.000 per ciascuna delle violazioni sub 1) e 2), per un 
importo complessivo di € 60.000.",2021-11-03
"P
ROGETTO SIM SPA",110.0,,2021-11-17
,45.0,,
PROGETTO SIM SPA,37000.0,,2007-10-27
