Date,Transaction Type,Dr/Cr,Amount,Account,Balance After
2024-09-30,Client Payment,Debit,26874.0,Customer Deposits,5395547.600000001
2024-09-30,Client Payment,Credit,26874.0,Cash Reserves,42382.49999999961
2024-09-30,Interest Income,Debit,11297.0,Cash Reserves,53679.49999999961
2024-09-30,Interest Income,Credit,11297.0,Interest Income,146588.0
2024-10-01,Deposit,Credit,38366.1,Customer Deposits,5433913.7
2024-10-01,Deposit,Debit,38366.1,Cash Reserves,92045.5999999996
2024-10-01,Deposit Fee,Credit,4262.9,Fee Income,300592.20000000007
2024-10-01,Client Payment,Debit,17000.0,Customer Deposits,5416913.7
2024-10-01,Client Payment,Credit,17000.0,Cash Reserves,75045.5999999996
2024-10-01,Interest Income,Debit,8599.0,Cash Reserves,83644.5999999996
2024-10-01,Interest Income,Credit,8599.0,Interest Income,155187.0
2024-10-02,Deposit,Credit,58720.5,Customer Deposits,5475634.2
2024-10-02,Deposit,Debit,58720.5,Cash Reserves,142365.0999999996
2024-10-02,Deposit Fee,Credit,6524.5,Fee Income,307116.70000000007
2024-10-02,Loan Disbursed,Debit,134834.4,Loans Outstanding,4111413.4999999995
2024-10-02,Loan Disbursed,Credit,134834.4,Cash Reserves,7530.699999999604
2024-10-02,Loan Fee,Credit,14981.6,Fee Income,322098.30000000005
2024-10-02,Client Payment,Debit,25525.0,Customer Deposits,5450109.2
2024-10-02,Client Payment,Credit,25525.0,Cash Reserves,-17994.300000000396
2024-10-02,Interest Income,Debit,9306.0,Cash Reserves,-8688.300000000396
2024-10-02,Interest Income,Credit,9306.0,Interest Income,164493.0
2024-10-03,Deposit,Credit,85119.3,Customer Deposits,5535228.5
2024-10-03,Deposit,Debit,85119.3,Cash Reserves,76430.9999999996
2024-10-03,Deposit Fee,Credit,9457.7,Fee Income,331556.00000000006
2024-10-03,Client Payment,Debit,15393.0,Customer Deposits,5519835.5
2024-10-03,Client Payment,Credit,15393.0,Cash Reserves,61037.99999999961
2024-10-03,Interest Income,Debit,13267.0,Cash Reserves,74304.9999999996
2024-10-03,Interest Income,Credit,13267.0,Interest Income,177760.0
2024-10-04,Deposit,Credit,76109.4,Customer Deposits,5595944.9
2024-10-04,Deposit,Debit,76109.4,Cash Reserves,150414.39999999962
2024-10-04,Deposit Fee,Credit,8456.6,Fee Income,340012.60000000003
2024-10-04,Loan Disbursed,Debit,129096.9,Loans Outstanding,4240510.399999999
2024-10-04,Loan Disbursed,Credit,129096.9,Cash Reserves,21317.49999999962
2024-10-04,Loan Fee,Credit,14344.1,Fee Income,354356.7
2024-10-04,Client Payment,Debit,27969.0,Customer Deposits,5567975.9
2024-10-04,Client Payment,Credit,27969.0,Cash Reserves,-6651.500000000378
2024-10-04,Interest Income,Debit,8493.0,Cash Reserves,1841.4999999996217
2024-10-04,Interest Income,Credit,8493.0,Interest Income,186253.0
2024-10-05,Deposit,Credit,22272.3,Customer Deposits,5590248.2
2024-10-05,Deposit,Debit,22272.3,Cash Reserves,24113.79999999962
2024-10-05,Deposit Fee,Credit,2474.7,Fee Income,356831.4
2024-10-05,Client Payment,Debit,13230.0,Customer Deposits,5577018.2
2024-10-05,Client Payment,Credit,13230.0,Cash Reserves,10883.799999999621
2024-10-05,Interest Income,Debit,9512.0,Cash Reserves,20395.79999999962
2024-10-05,Interest Income,Credit,9512.0,Interest Income,195765.0
2024-10-06,Deposit,Credit,10629.9,Customer Deposits,5587648.100000001
2024-10-06,Deposit,Debit,10629.9,Cash Reserves,31025.69999999962
2024-10-06,Deposit Fee,Credit,1181.1,Fee Income,358012.5
2024-10-06,Client Payment,Debit,7164.0,Customer Deposits,5580484.100000001
2024-10-06,Client Payment,Credit,7164.0,Cash Reserves,23861.69999999962
2024-10-06,Interest Income,Debit,11011.0,Cash Reserves,34872.69999999962
2024-10-06,Interest Income,Credit,11011.0,Interest Income,206776.0
2024-10-07,Deposit,Credit,70866.9,Customer Deposits,5651351.000000001
2024-10-07,Deposit,Debit,70866.9,Cash Reserves,105739.59999999961
2024-10-07,Deposit Fee,Credit,7874.1,Fee Income,365886.6
2024-10-07,Client Payment,Debit,26832.0,Customer Deposits,5624519.000000001
2024-10-07,Client Payment,Credit,26832.0,Cash Reserves,78907.59999999961
2024-10-07,Interest Income,Debit,12075.0,Cash Reserves,90982.59999999961
2024-10-07,Interest Income,Credit,12075.0,Interest Income,218851.0
2024-10-08,Deposit,Credit,72728.1,Customer Deposits,5697247.100000001
2024-10-08,Deposit,Debit,72728.1,Cash Reserves,163710.6999999996
2024-10-08,Deposit Fee,Credit,8080.9,Fee Income,373967.5
2024-10-08,Loan Disbursed,Debit,150097.5,Loans Outstanding,4390607.899999999
2024-10-08,Loan Disbursed,Credit,150097.5,Cash Reserves,13613.199999999604
2024-10-08,Loan Fee,Credit,16677.5,Fee Income,390645.0
2024-10-08,Client Payment,Debit,10872.0,Customer Deposits,5686375.100000001
2024-10-08,Client Payment,Credit,10872.0,Cash Reserves,2741.199999999604
2024-10-08,Interest Income,Debit,10311.0,Cash Reserves,13052.199999999604
2024-10-08,Interest Income,Credit,10311.0,Interest Income,229162.0
2024-10-09,Deposit,Credit,78981.3,Customer Deposits,5765356.4
2024-10-09,Deposit,Debit,78981.3,Cash Reserves,92033.4999999996
2024-10-09,Deposit Fee,Credit,8775.7,Fee Income,399420.7
2024-10-09,Loan Disbursed,Debit,73542.6,Loans Outstanding,4464150.499999999
2024-10-09,Loan Disbursed,Credit,73542.6,Cash Reserves,18490.8999999996
2024-10-09,Loan Fee,Credit,8171.4,Fee Income,407592.10000000003
2024-10-09,Client Payment,Debit,23503.0,Customer Deposits,5741853.4
2024-10-09,Client Payment,Credit,23503.0,Cash Reserves,-5012.100000000399
2024-10-09,Interest Income,Debit,13779.0,Cash Reserves,8766.899999999601
2024-10-09,Interest Income,Credit,13779.0,Interest Income,242941.0
2024-10-10,Deposit,Credit,59172.3,Customer Deposits,5801025.7
2024-10-10,Deposit,Debit,59172.3,Cash Reserves,67939.1999999996
2024-10-10,Deposit Fee,Credit,6574.7,Fee Income,414166.80000000005
2024-10-10,Client Payment,Debit,16013.0,Customer Deposits,5785012.7
2024-10-10,Client Payment,Credit,16013.0,Cash Reserves,51926.199999999604
2024-10-10,Interest Income,Debit,11824.0,Cash Reserves,63750.199999999604
2024-10-10,Interest Income,Credit,11824.0,Interest Income,254765.0
2024-10-11,Deposit,Credit,19143.0,Customer Deposits,5804155.7
2024-10-11,Deposit,Debit,19143.0,Cash Reserves,82893.1999999996
2024-10-11,Deposit Fee,Credit,2127.0,Fee Income,416293.80000000005
2024-10-11,Client Payment,Debit,9293.0,Customer Deposits,5794862.7
2024-10-11,Client Payment,Credit,9293.0,Cash Reserves,73600.1999999996
2024-10-11,Interest Income,Debit,12511.0,Cash Reserves,86111.1999999996
2024-10-11,Interest Income,Credit,12511.0,Interest Income,267276.0
2024-10-12,Deposit,Credit,17932.5,Customer Deposits,5812795.2
2024-10-12,Deposit,Debit,17932.5,Cash Reserves,104043.6999999996
2024-10-12,Deposit Fee,Credit,1992.5,Fee Income,418286.30000000005
2024-10-12,Loan Disbursed,Debit,74875.5,Loans Outstanding,4539025.999999999
2024-10-12,Loan Disbursed,Credit,74875.5,Cash Reserves,29168.199999999604
2024-10-12,Loan Fee,Credit,8319.5,Fee Income,426605.80000000005
2024-10-12,Client Payment,Debit,23286.0,Customer Deposits,5789509.2
2024-10-12,Client Payment,Credit,23286.0,Cash Reserves,5882.199999999604
2024-10-12,Interest Income,Debit,10091.0,Cash Reserves,15973.199999999604
2024-10-12,Interest Income,Credit,10091.0,Interest Income,277367.0
2024-10-13,Deposit,Credit,45028.8,Customer Deposits,5834538.0
2024-10-13,Deposit,Debit,45028.8,Cash Reserves,61001.99999999961
2024-10-13,Deposit Fee,Credit,5003.2,Fee Income,431609.00000000006
2024-10-13,Client Payment,Debit,10505.0,Customer Deposits,5824033.0
2024-10-13,Client Payment,Credit,10505.0,Cash Reserves,50496.99999999961
2024-10-13,Interest Income,Debit,14527.0,Cash Reserves,65023.99999999961
2024-10-13,Interest Income,Credit,14527.0,Interest Income,291894.0
2024-10-14,Deposit,Credit,11247.3,Customer Deposits,5835280.3
2024-10-14,Deposit,Debit,11247.3,Cash Reserves,76271.29999999961
2024-10-14,Deposit Fee,Credit,1249.7,Fee Income,432858.70000000007
2024-10-14,Client Payment,Debit,26430.0,Customer Deposits,5808850.3
2024-10-14,Client Payment,Credit,26430.0,Cash Reserves,49841.29999999961
2024-10-14,Interest Income,Debit,6728.0,Cash Reserves,56569.29999999961
2024-10-14,Interest Income,Credit,6728.0,Interest Income,298622.0
2024-10-15,Deposit,Credit,28644.3,Customer Deposits,5837494.6
2024-10-15,Deposit,Debit,28644.3,Cash Reserves,85213.59999999961
2024-10-15,Deposit Fee,Credit,3182.7,Fee Income,436041.4000000001
2024-10-15,Client Payment,Debit,8758.0,Customer Deposits,5828736.6
2024-10-15,Client Payment,Credit,8758.0,Cash Reserves,76455.59999999961
2024-10-15,Interest Income,Debit,5810.0,Cash Reserves,82265.59999999961
2024-10-15,Interest Income,Credit,5810.0,Interest Income,304432.0
